Datum;Cas;Vysledek;Mod;Nejlepsi shoda;Nejlepsi shoda MN;Uplynuly cas 1;Uplynuly cas 2;Cas celkem;Nazev Pole 1;Pole 1;Nazev Pole 2;Pole 2;Nazev Pole 3;Pole 3;Nazev Pole 4;Pole 4;Nazev Pole 5;Pole 5;Nazev Pole 6;Pole 6;Nazev Pole 7;Pole 7;Nazev Pole 8;Pole 8;LOD Sigma;Mg;Mg +/-;Al;Al +/-;Si;Si +/-;P;P +/-;S;S +/-;Cl;Cl +/-;K;K +/-;Ca;Ca +/-;Ti;Ti +/-;Cr;Cr +/-;Mn;Mn +/-;Fe;Fe +/-;Co;Co +/-;Ni;Ni +/-;Cu;Cu +/-;Zn;Zn +/-;As;As +/-;Se;Se +/-;Rb;Rb +/-;Sr;Sr +/-;Y;Y +/-;Zr;Zr +/-;Mo;Mo +/-;Ag;Ag +/-;Cd;Cd +/-;In;In +/-;Sn;Sn +/-;Sb;Sb +/-;Ba;Ba +/-;W;W +/-;Au;Au +/-;Hg;Hg +/-;Tl;Tl +/-;Pb;Pb +/-;Bi;Bi +/-;Th;Th +/-;U;U +/-;LE;LE +/-;2. nejlepsi shoda;2. nejlepsi shoda MN;3. nejlepsi shoda;;Nazev Pole 9;Pole 9;Nazev Pole 10;Pole 10;Nazev Pole 11;Pole 11;Nazev Pole 12;Pole 12;Nazev Pole 13;Pole 13;Nazev Pole 14;Pole 14;Nazev Pole 15;Pole 15;Nazev Pole 16;Pole 16
18.01.2019;11:28:32;#1;STD kontrola;;0;14,91;;14,91;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
18.01.2019;14:10:20;#2-1;Geochem;;0;29,65;29,87;59,52;research;kh_sedlec;segment;15a16;vrstva;116;hrob;;excel.id;460;vzorek;27001;;;;;3;<LOD;2,23;5,97;0,13;30,58;0,26;0,0944;0,0111;<LOD;0,0323;<LOD;0,95;2,0651;0,0196;0,6949;0,0108;0,4914;0,0227;0,0105;0,0024;0,0663;0,0031;2,6594;0,0249;<LOD;0,0758;0,0024;0,0007;0,0043;0,0005;0,0069;0,0004;0,0035;0,0002;<LOD;0,0033;0,0126;0,0002;0,0097;0,0002;<LOD;0,0249;0,0489;0,0005;<LOD;0,0193;<LOD;0,1149;<LOD;0,1373;<LOD;0,0015;<LOD;0,22;<LOD;0,29;<LOD;0,36;<LOD;0,0565;<LOD;0,0163;<LOD;0,0009;<LOD;0,0198;0,0027;0,0003;<LOD;0,0739;0,002;0,0006;<LOD;0,038;56,26;0,43;;0;;;;;;;;;;;;;;;;;;
18.01.2019;14:11:34;#2-2;Geochem;;0;29,66;29,87;59,53;research;kh_sedlec;segment;15a16;vrstva;116;hrob;;excel.id;460;vzorek;27001;;;;;3;<LOD;2,25;5,88;0,13;30,71;0,26;0,0712;0,0109;<LOD;0,0331;<LOD;0,95;2,0964;0,02;0,722;0,011;0,4795;0,0227;0,0073;0,0023;0,0672;0,0031;2,6682;0,0252;<LOD;0,0769;0,0043;0,0007;0,0037;0,0005;0,0073;0,0004;0,0043;0,0002;<LOD;0,0033;0,0121;0,0002;0,0101;0,0002;<LOD;0,025;0,0492;0,0005;<LOD;0,0194;<LOD;0,1157;<LOD;0,1389;<LOD;0,0016;<LOD;0,22;<LOD;0,29;<LOD;0,36;<LOD;0,0548;<LOD;0,0156;<LOD;0,001;<LOD;0,0195;0,0025;0,0003;<LOD;0,0751;0,0025;0,0006;<LOD;0,0378;56,19;0,44;;0;;;;;;;;;;;;;;;;;;
18.01.2019;14:12:46;#2-3;Geochem;;0;29,66;29,87;59,53;research;kh_sedlec;segment;15a16;vrstva;116;hrob;;excel.id;460;vzorek;27001;;;;;3;<LOD;3,69;5,78;0,12;30,3;0,14;0,0879;0,011;<LOD;0,0327;<LOD;0,94;2,0691;0,013;0,7042;0,0096;0,4547;0,0221;0,007;0,0023;0,0623;0,003;2,6121;0,016;<LOD;0,0754;0,0022;0,0007;0,0036;0,0005;0,0069;0,0004;0,0033;0,0002;<LOD;0,0032;0,0121;0,0002;0,0096;0,0002;<LOD;0,0252;0,0484;0,0004;<LOD;0,0192;<LOD;0,1152;<LOD;0,1372;<LOD;0,0015;<LOD;0,22;<LOD;0,29;<LOD;0,35;<LOD;0,0538;<LOD;0,0153;<LOD;0,0009;<LOD;0,0184;0,0034;0,0003;<LOD;0,0749;0,0027;0,0006;<LOD;0,0374;57,84;0,18;;0;;;;;;;;;;;;;;;;;;
18.01.2019;14:15:08;#3-1;Geochem;;0;29,67;29,86;59,53;research;kh_sedlec;segment;15a16;vrstva;138;hrob;;excel.id;461;vzorek;27002;;;;;3;<LOD;3,38;5,29;0,12;26,4;0,13;0,1956;0,0125;<LOD;0,0317;<LOD;0,85;1,8255;0,0117;4,1565;0,0211;0,4773;0,0222;<LOD;0,022;0,0986;0,0035;2,5171;0,0158;<LOD;0,074;0,0022;0,0007;0,0065;0,0006;0,0215;0,0007;0,0174;0,0005;<LOD;0,0035;0,0115;0,0002;0,0122;0,0002;<LOD;0,0248;0,0395;0,0004;<LOD;0,0189;<LOD;0,1165;<LOD;0,1391;<LOD;0,0015;<LOD;0,22;<LOD;0,29;<LOD;0,35;<LOD;0,0671;<LOD;0,0204;<LOD;0,001;<LOD;0,0224;0,0139;0,0004;<LOD;0,0739;<LOD;0,0823;<LOD;0,0386;58,92;0,18;;0;;;;;;;;;;;;;;;;;;
18.01.2019;14:16:22;#3-2;Geochem;;0;29,68;29,86;59,54;research;kh_sedlec;segment;15a16;vrstva;138;hrob;;excel.id;461;vzorek;27002;;;;;3;<LOD;3,35;5,25;0,12;26,53;0,13;0,2161;0,0128;<LOD;0,0314;<LOD;0,85;1,8381;0,0118;4,1393;0,0211;0,4298;0,0218;<LOD;0,0217;0,0913;0,0035;2,4861;0,0157;<LOD;0,0748;0,002;0,0007;0,0068;0,0006;0,0213;0,0007;0,0165;0,0005;<LOD;0,0035;0,0119;0,0002;0,0124;0,0002;<LOD;0,0248;0,0394;0,0004;<LOD;0,0191;<LOD;0,1168;<LOD;0,1393;<LOD;0,0015;<LOD;0,22;<LOD;0,29;<LOD;0,35;<LOD;0,0654;<LOD;0,0196;<LOD;0,001;<LOD;0,0242;0,0148;0,0005;<LOD;0,0756;0,0021;0,0006;<LOD;0,0384;58,89;0,18;;0;;;;;;;;;;;;;;;;;;
18.01.2019;14:17:36;#3-3;Geochem;;0;29,68;29,86;59,54;research;kh_sedlec;segment;15a16;vrstva;138;hrob;;excel.id;461;vzorek;27002;;;;;3;<LOD;3,34;5,34;0,12;26,81;0,13;0,206;0,0128;<LOD;0,0316;<LOD;0,85;1,854;0,0119;4,1695;0,0212;0,5089;0,0227;<LOD;0,0214;0,0901;0,0035;2,5075;0,0159;<LOD;0,0754;0,0038;0,0007;0,0064;0,0006;0,0221;0,0007;0,0182;0,0005;<LOD;0,0036;0,0116;0,0002;0,0121;0,0002;<LOD;0,025;0,0404;0,0004;<LOD;0,0192;<LOD;0,1179;<LOD;0,141;<LOD;0,0016;<LOD;0,23;<LOD;0,29;<LOD;0,36;<LOD;0,0668;<LOD;0,0203;<LOD;0,001;<LOD;0,0236;0,0137;0,0005;<LOD;0,0764;0,002;0,0006;<LOD;0,039;58,38;0,18;;0;;;;;;;;;;;;;;;;;;
18.01.2019;14:20:01;#4-1;Geochem;;0;29,65;29,87;59,52;research;kh_sedlec;segment;15a16;vrstva;253;hrob;;excel.id;462;vzorek;27003;;;;;3;<LOD;3,6;5,42;0,12;29,95;0,14;0,1566;0,0115;<LOD;0,0333;<LOD;0,92;2,0026;0,0125;0,8547;0,0097;0,5122;0,0221;<LOD;0,0211;0,0749;0,0031;2,4676;0,0152;<LOD;0,0725;0,0028;0,0007;0,0048;0,0005;0,0106;0,0005;0,0035;0,0003;<LOD;0,0034;0,012;0,0002;0,0097;0,0002;<LOD;0,0252;0,0503;0,0004;<LOD;0,019;<LOD;0,1133;<LOD;0,1359;<LOD;0,0015;<LOD;0,22;<LOD;0,29;<LOD;0,35;<LOD;0,0564;<LOD;0,016;<LOD;0,0009;<LOD;0,0224;0,0102;0,0004;<LOD;0,0749;0,0034;0,0006;<LOD;0,037;58,45;0,18;;0;;;;;;;;;;;;;;;;;;
18.01.2019;14:21:13;#4-2;Geochem;;0;29,65;29,87;59,52;research;kh_sedlec;segment;15a16;vrstva;253;hrob;;excel.id;462;vzorek;27003;;;;;3;<LOD;3,54;5,58;0,12;30,3;0,14;0,1526;0,0115;<LOD;0,0331;<LOD;0,92;2,0392;0,0127;0,8569;0,0098;0,5168;0,0224;0,0082;0,0023;0,083;0,0033;2,4851;0,0153;<LOD;0,0732;0,0028;0,0007;0,0054;0,0006;0,0108;0,0005;0,0034;0,0003;<LOD;0,0032;0,0119;0,0002;0,01;0,0002;<LOD;0,0251;0,0506;0,0004;<LOD;0,019;<LOD;0,1147;<LOD;0,1367;<LOD;0,0015;<LOD;0,22;<LOD;0,29;<LOD;0,35;<LOD;0,0545;<LOD;0,0154;<LOD;0,0009;<LOD;0,0219;0,0102;0,0004;<LOD;0,0737;0,0017;0,0006;<LOD;0,0373;57,87;0,18;;0;;;;;;;;;;;;;;;;;;
18.01.2019;14:22:28;#4-3;Geochem;;0;29,65;29,87;59,53;research;kh_sedlec;segment;15a16;vrstva;253;hrob;;excel.id;462;vzorek;27003;;;;;3;<LOD;3,49;5,39;0,12;30,04;0,14;0,1635;0,0115;<LOD;0,0335;<LOD;0,92;2,0256;0,0126;0,8814;0,0097;0,4942;0,0222;<LOD;0,0208;0,0709;0,0031;2,4878;0,0154;<LOD;0,0725;0,0025;0,0007;0,0061;0,0006;0,0096;0,0005;0,0036;0,0003;<LOD;0,0033;0,0117;0,0002;0,0101;0,0002;<LOD;0,0249;0,0502;0,0004;<LOD;0,0191;<LOD;0,1142;<LOD;0,1359;<LOD;0,0015;<LOD;0,22;<LOD;0,29;<LOD;0,35;<LOD;0,0567;<LOD;0,0155;<LOD;0,001;<LOD;0,0216;0,0108;0,0004;<LOD;0,0753;0,0034;0,0006;<LOD;0,037;58,33;0,18;;0;;;;;;;;;;;;;;;;;;
18.01.2019;14:24:51;#5-1;Geochem;;0;29,63;29,86;59,49;research;kh_sedlec;segment;15a16;vrstva;286;hrob;;excel.id;463;vzorek;27004;;;;;3;<LOD;3,33;5,95;0,12;30,05;0,13;0,1383;0,0111;<LOD;0,0309;<LOD;0,89;1,9892;0,0122;1,1017;0,0102;0,5284;0,0221;0,0103;0,0023;0,0728;0,0031;2,5372;0,0152;<LOD;0,0725;0,0035;0,0007;0,0046;0,0005;0,0094;0,0005;0,0034;0,0003;<LOD;0,0031;0,0117;0,0002;0,0104;0,0002;<LOD;0,0242;0,0487;0,0004;<LOD;0,0186;<LOD;0,1129;<LOD;0,1356;<LOD;0,0015;<LOD;0,22;<LOD;0,28;<LOD;0,35;<LOD;0,054;<LOD;0,015;<LOD;0,001;<LOD;0,02;0,0072;0,0003;<LOD;0,0729;0,0025;0,0006;<LOD;0,0371;57,52;0,18;;0;;;;;;;;;;;;;;;;;;
18.01.2019;14:26:02;#5-2;Geochem;;0;29,64;29,86;59,5;research;kh_sedlec;segment;15a16;vrstva;286;hrob;;excel.id;463;vzorek;27004;;;;;3;<LOD;3,33;5,59;0,12;30,35;0,14;0,1249;0,011;<LOD;0,0307;<LOD;0,88;1,9858;0,0122;1,1076;0,0102;0,5386;0,0221;0,0102;0,0023;0,0765;0,0031;2,5162;0,0152;<LOD;0,0723;0,0027;0,0007;0,0045;0,0005;0,0097;0,0005;0,0026;0,0003;<LOD;0,0031;0,0116;0,0002;0,0104;0,0002;<LOD;0,0242;0,0478;0,0004;<LOD;0,0187;<LOD;0,113;<LOD;0,1351;<LOD;0,0015;<LOD;0,22;<LOD;0,29;<LOD;0,35;<LOD;0,0553;<LOD;0,0149;<LOD;0,0009;<LOD;0,0204;0,0077;0,0003;<LOD;0,073;0,0021;0,0006;<LOD;0,037;57,6;0,18;;0;;;;;;;;;;;;;;;;;;
18.01.2019;14:27:17;#5-3;Geochem;;0;29,64;29,86;59,5;research;kh_sedlec;segment;15a16;vrstva;286;hrob;;excel.id;463;vzorek;27004;;;;;3;<LOD;2,06;5,84;0,13;30,93;0,24;0,1216;0,0112;<LOD;0,0304;<LOD;0,88;2,0189;0,0181;1,1296;0,0129;0,5009;0,0222;0,0068;0,0022;0,078;0,0032;2,5522;0,0227;<LOD;0,0731;0,003;0,0007;0,0044;0,0005;0,0088;0,0005;0,0033;0,0003;0,0003;0,0001;0,0119;0,0002;0,0107;0,0002;<LOD;0,0247;0,048;0,0005;<LOD;0,0188;<LOD;0,1134;<LOD;0,1352;<LOD;0,0015;<LOD;0,22;<LOD;0,29;<LOD;0,34;<LOD;0,0518;<LOD;0,0145;<LOD;0,0009;<LOD;0,0215;0,0069;0,0003;<LOD;0,0727;<LOD;0,081;<LOD;0,0366;56,29;0,4;;0;;;;;;;;;;;;;;;;;;
18.01.2019;14:29:38;#6-1;Geochem;;0;29,65;29,86;59,52;research;kh_sedlec;segment;15a16;vrstva;288;hrob;;excel.id;464;vzorek;27005;;;;;3;<LOD;2,21;5,51;0,13;28,83;0,24;0,2652;0,0131;<LOD;0,0337;<LOD;0,9;1,9045;0,0181;2,1789;0,0207;0,4963;0,0223;0,0075;0,0023;0,0765;0,0032;2,5466;0,0239;<LOD;0,0738;<LOD;0,0098;0,0031;0,0005;0,0094;0,0005;0,0033;0,0003;<LOD;0,0032;0,0114;0,0002;0,0125;0,0002;<LOD;0,0245;0,0447;0,0005;<LOD;0,0189;<LOD;0,1152;<LOD;0,1367;<LOD;0,0015;<LOD;0,22;<LOD;0,29;<LOD;0,35;<LOD;0,0558;<LOD;0,0153;<LOD;0,001;<LOD;0,0215;0,0061;0,0003;<LOD;0,0748;0,0027;0,0006;<LOD;0,0375;57,01;0,44;;0;;;;;;;;;;;;;;;;;;
18.01.2019;14:30:50;#6-2;Geochem;;0;29,66;29,86;59,53;research;kh_sedlec;segment;15a16;vrstva;288;hrob;;excel.id;464;vzorek;27005;;;;;3;<LOD;2,23;5,48;0,13;29,43;0,25;0,2803;0,0136;<LOD;0,0339;<LOD;0,9;1,9772;0,0189;2,2716;0,0217;0,5037;0,023;<LOD;0,0214;0,0703;0,0032;2,604;0,0246;<LOD;0,0762;<LOD;0,0103;0,0037;0,0005;0,0101;0,0005;0,003;0,0003;<LOD;0,0035;0,0119;0,0002;0,0129;0,0002;<LOD;0,0253;0,0455;0,0005;<LOD;0,0193;<LOD;0,1182;<LOD;0,1416;<LOD;0,0016;<LOD;0,23;<LOD;0,3;<LOD;0,36;<LOD;0,059;<LOD;0,0165;<LOD;0,001;<LOD;0,0213;0,0063;0,0003;<LOD;0,0765;0,0034;0,0006;<LOD;0,0377;56,36;0,44;;0;;;;;;;;;;;;;;;;;;
18.01.2019;14:32:02;#6-3;Geochem;;0;29,66;29,87;59,53;research;kh_sedlec;segment;15a16;vrstva;288;hrob;;excel.id;464;vzorek;27005;;;;;3;<LOD;2,21;5,45;0,13;29,4;0,25;0,2479;0,0131;<LOD;0,0338;<LOD;0,89;1,9468;0,0185;2,2417;0,0212;0,4882;0,0229;<LOD;0,021;0,073;0,0032;2,5584;0,024;<LOD;0,0752;0,0025;0,0007;0,0047;0,0006;0,0094;0,0005;0,0032;0,0003;<LOD;0,0034;0,0114;0,0002;0,0127;0,0002;<LOD;0,0247;0,0444;0,0005;<LOD;0,0192;<LOD;0,1164;<LOD;0,1401;<LOD;0,0016;<LOD;0,23;<LOD;0,3;<LOD;0,36;<LOD;0,0547;<LOD;0,0152;<LOD;0,0009;<LOD;0,0204;0,006;0,0003;<LOD;0,0756;0,0023;0,0006;<LOD;0,0384;56,88;0,43;;0;;;;;;;;;;;;;;;;;;
18.01.2019;14:34:26;#7-1;Geochem;;0;29,64;29,86;59,5;research;kh_sedlec;segment;15a16;vrstva;289;hrob;;excel.id;465;vzorek;27006;;;;;3;<LOD;3,24;5,57;0,12;30,42;0,13;0,0721;0,0104;<LOD;0,0312;<LOD;0,87;1,971;0,0121;1,1813;0,0103;0,4829;0,0214;0,0106;0,0023;0,068;0,003;2,5288;0,0152;<LOD;0,072;0,0025;0,0006;0,0044;0,0005;0,0084;0,0004;0,0029;0,0003;<LOD;0,0031;0,012;0,0002;0,0105;0,0002;<LOD;0,0243;0,048;0,0004;<LOD;0,0185;<LOD;0,1122;<LOD;0,1338;<LOD;0,0015;<LOD;0,22;<LOD;0,28;<LOD;0,34;<LOD;0,0517;<LOD;0,0146;<LOD;0,0009;<LOD;0,0208;0,005;0,0003;<LOD;0,0726;0,002;0,0006;<LOD;0,0368;57,6;0,18;;0;;;;;;;;;;;;;;;;;;
